,ExpDate,Strike,calls_last_trade_price,calls_open_interest,calls_iv,calls_volume,calls_delta,calls_gamma,calls_theta,calls_rho,calls_vega,calls_theo,calls_change,puts_last_trade_price,puts_open_interest,puts_iv,puts_volume,puts_delta,puts_gamma,puts_theta,puts_rho,puts_vega,puts_theo,puts_change
0,230224,00015000,197.85,24.0,6.2707,0.0,1.0,0.0,0.0,-0.0003,0.0,193.4113,0.0,0.01,10.0,5.7682,1.0,0.0,0.0,-0.0005,0.0,0.0,0.0007,0.005
1,230224,00020000,187.07,3.0,0.0,10.0,0.9999,0.0,0.0,-0.0003,0.0,188.413,4.22,0.01,1.0,5.1218,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0008,0.0
2,230224,00025000,111.18,3.0,4.8642,0.0,0.9999,0.0,0.0,0.0,0.0,183.4157,0.0,0.03,3.0,4.627,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0008,0.0
3,230224,00030000,104.87,3.0,4.3104,0.0,0.9999,0.0,0.0,0.0006,0.0,178.4191,0.0,0.01,748.0,4.2267,0.0,0.0,0.0,-0.0007,0.0,0.0,0.0009,0.0
4,230224,00035000,0.0,0.0,4.467,0.0,0.9999,0.0,0.0,0.0015,0.0,173.423,0.0,0.01,20.0,3.8906,0.0,0.0,0.0,-0.0008,0.0,0.0,0.001,0.0
5,230224,00040000,0.0,0.0,4.0799,0.0,0.9999,0.0,0.0,0.0025,0.0001,168.427,0.0,0.01,439.0,3.6012,0.0,0.0,0.0,-0.0008,0.0,0.0001,0.0011,0.0
6,230224,00045000,0.0,0.0,3.732,0.0,0.9998,0.0,0.0,0.0035,0.0001,163.4313,0.0,0.01,2046.0,3.3471,0.0,-0.0001,0.0,-0.0009,0.0,0.0001,0.0012,0.0
7,230224,00050000,166.63,103.0,3.4122,0.0,0.9998,0.0,0.0,0.0046,0.0001,158.4355,0.0,0.01,1898.0,3.1206,0.0,-0.0001,0.0,-0.001,0.0,0.0001,0.0014,0.0
8,230224,00055000,141.75,3.0,0.0,0.0,0.9998,0.0,0.0,0.0057,0.0001,153.4399,0.0,0.01,806.0,2.9163,0.0,-0.0001,0.0,-0.0011,0.0,0.0001,0.0015,0.0
9,230224,00060000,140.33,14.0,0.0,0.0,0.9998,0.0,0.0,0.0068,0.0001,148.4443,0.0,0.01,1451.0,2.7302,0.0,-0.0001,0.0,-0.0012,0.0,0.0001,0.0017,0.0
10,230224,00065000,129.26,6.0,0.0,0.0,0.9998,0.0,0.0,0.0079,0.0001,143.4487,0.0,0.02,701.0,2.5593,0.0,-0.0001,0.0,-0.0014,0.0,0.0001,0.0019,0.0
11,230224,00070000,104.95,6.0,0.0,0.0,0.9998,0.0,0.0,0.0091,0.0001,138.4531,0.0,0.01,599.0,2.4014,0.0,-0.0001,0.0,-0.0016,0.0,0.0001,0.0022,0.0
12,230224,00075000,90.45,1.0,0.0,0.0,0.9997,0.0,0.0,0.0101,0.0002,133.4576,0.0,0.02,851.0,2.2544,0.0,-0.0002,0.0,-0.0018,0.0,0.0002,0.0025,0.0
13,230224,00080000,131.15,6.0,2.3178,0.0,0.9997,0.0,0.0,0.0113,0.0002,128.4622,0.0,0.01,1123.0,2.117,2.0,-0.0002,0.0,-0.002,0.0,0.0002,0.0029,0.005
14,230224,00085000,115.75,37.0,0.0,1.0,0.9997,0.0,0.0,0.0124,0.0003,123.4669,-2.1,0.01,638.0,1.9881,5.0,-0.0002,0.0,-0.0024,0.0,0.0003,0.0034,0.0
15,230224,00090000,111.76,85.0,0.0,44.0,0.9996,0.0,0.0,0.0135,0.0003,118.4716,-1.09,0.02,1509.0,1.9694,144.0,-0.0003,0.0,-0.0027,0.0,0.0003,0.004,0.015
16,230224,00095000,108.13,18.0,1.6939,0.0,0.9995,0.0,0.0,0.0147,0.0004,113.4765,0.0,0.01,1936.0,1.7514,80.0,-0.0004,0.0,-0.0032,0.0,0.0004,0.0047,-0.005
17,230224,00098000,74.5,14.0,0.0,0.0,0.9995,0.0,0.0,0.0153,0.0004,110.4796,0.0,0.01,976.0,1.7788,357.0,-0.0004,0.0,-0.0035,0.0,0.0004,0.0052,-0.005
18,230224,00099000,103.0,17.0,1.9009,0.0,0.9995,0.0,0.0,0.0155,0.0004,109.4806,0.0,0.01,636.0,1.6636,21.0,-0.0004,0.0,-0.0036,0.0,0.0004,0.0054,-0.01
19,230224,00100000,107.96,87.0,1.8708,25.0,0.9995,0.0,0.0,0.0158,0.0005,108.4816,5.06,0.01,2491.0,1.6421,242.0,-0.0005,0.0,-0.0037,0.0,0.0005,0.0056,-0.01
20,230224,00101000,110.0,19.0,1.9775,0.0,0.9994,0.0,0.0,0.016,0.0005,107.4827,0.0,0.01,475.0,1.7114,155.0,-0.0005,0.0,-0.0038,0.0,0.0005,0.0058,-0.01
