ProductSymbol	Year	Month	Day	Integer	Dec	C/P	Call	Put	PositionLimit	
ROKU  	2023	01	27	20	000	C P 	0	54	25000000
ROKU  	2023	01	27	25	000	C P 	1	19	25000000
ROKU  	2023	01	27	29	000	C P 	0	38	25000000
ROKU  	2023	01	27	30	000	C P 	1	93	25000000
ROKU  	2023	01	27	31	000	C P 	3	98	25000000
ROKU  	2023	01	27	32	000	C P 	1	42	25000000
ROKU  	2023	01	27	33	000	C P 	1	75	25000000
ROKU  	2023	01	27	34	000	C P 	0	108	25000000
ROKU  	2023	01	27	35	000	C P 	3	2435	25000000
ROKU  	2023	01	27	36	000	C P 	9	104	25000000
ROKU  	2023	01	27	37	000	C P 	11	126	25000000
ROKU  	2023	01	27	38	000	C P 	27	94	25000000
ROKU  	2023	01	27	38	500	C P 	2	177	25000000
ROKU  	2023	01	27	39	000	C P 	111	543	25000000
ROKU  	2023	01	27	39	500	C P 	10	205	25000000
ROKU  	2023	01	27	40	000	C P 	161	497	25000000
ROKU  	2023	01	27	40	500	C P 	27	29	25000000
ROKU  	2023	01	27	41	000	C P 	78	356	25000000
ROKU  	2023	01	27	41	500	C P 	8	47	25000000
ROKU  	2023	01	27	42	000	C P 	111	134	25000000
ROKU  	2023	01	27	42	500	C P 	89	74	25000000
ROKU  	2023	01	27	43	000	C P 	117	140	25000000
ROKU  	2023	01	27	43	500	C P 	13	1248	25000000
ROKU  	2023	01	27	44	000	C P 	194	2051	25000000
ROKU  	2023	01	27	44	500	C P 	41	1282	25000000
ROKU  	2023	01	27	45	000	C P 	254	7888	25000000
ROKU  	2023	01	27	45	500	C P 	45	236	25000000
ROKU  	2023	01	27	46	000	C P 	115	461	25000000
ROKU  	2023	01	27	46	500	C P 	65	235	25000000
ROKU  	2023	01	27	47	000	C P 	118	528	25000000
ROKU  	2023	01	27	47	500	C P 	74	1291	25000000
ROKU  	2023	01	27	48	000	C P 	2145	926	25000000
ROKU  	2023	01	27	48	500	C P 	138	7704	25000000
ROKU  	2023	01	27	49	000	C P 	262	769	25000000
ROKU  	2023	01	27	49	500	C P 	363	1013	25000000
