Series Search Results for ROKU

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
ROKU  		2023	02	10	25	000	C P 	0	360	25000000
ROKU  		2023	02	10	29	000	C P 	1	28	25000000
ROKU  		2023	02	10	30	000	C P 	1	603	25000000
ROKU  		2023	02	10	31	000	C P 	1	79	25000000
ROKU  		2023	02	10	32	000	C P 	0	1219	25000000
ROKU  		2023	02	10	33	000	C P 	1	762	25000000
ROKU  		2023	02	10	34	000	C P 	7	54	25000000
ROKU  		2023	02	10	35	000	C P 	4	118	25000000
ROKU  		2023	02	10	36	000	C P 	1	56	25000000
ROKU  		2023	02	10	37	000	C P 	1	175	25000000
ROKU  		2023	02	10	38	000	C P 	1	554	25000000
ROKU  		2023	02	10	38	500	C P 	2	240	25000000
ROKU  		2023	02	10	39	000	C P 	0	284	25000000
ROKU  		2023	02	10	39	500	C P 	6	0	25000000
ROKU  		2023	02	10	40	000	C P 	2011	2187	25000000
ROKU  		2023	02	10	40	500	C P 	6	3	25000000
ROKU  		2023	02	10	41	000	C P 	19	145	25000000
ROKU  		2023	02	10	41	500	C P 	0	8	25000000
ROKU  		2023	02	10	42	000	C P 	12	309	25000000
ROKU  		2023	02	10	42	500	C P 	1	9	25000000
ROKU  		2023	02	10	43	000	C P 	43	156	25000000
ROKU  		2023	02	10	43	500	C P 	4	12	25000000
ROKU  		2023	02	10	44	000	C P 	106	917	25000000
ROKU  		2023	02	10	44	500	C P 	3	1	25000000
ROKU  		2023	02	10	45	000	C P 	104	447	25000000
ROKU  		2023	02	10	45	500	C P 	18	45	25000000
ROKU  		2023	02	10	46	000	C P 	491	249	25000000
ROKU  		2023	02	10	46	500	C P 	17	547	25000000
ROKU  		2023	02	10	47	000	C P 	78	1023	25000000
ROKU  		2023	02	10	47	500	C P 	18	577	25000000
ROKU  		2023	02	10	48	000	C P 	101	530	25000000
ROKU  		2023	02	10	48	500	C P 	16	230	25000000
ROKU  		2023	02	10	49	000	C P 	107	198	25000000
ROKU  		2023	02	10	49	500	C P 	57	94	25000000
ROKU  		2023	02	10	50	000	C P 	207	627	25000000
ROKU  		2023	02	10	51	000	C P 	164	1388	25000000
ROKU  		2023	02	10	52	000	C P 	430	466	25000000
ROKU  		2023	02	10	53	000	C P 	375	788	25000000
ROKU  		2023	02	10	54	000	C P 	480	949	25000000
ROKU  		2023	02	10	55	000	C P 	464	870	25000000
ROKU  		2023	02	10	56	000	C P 	578	1303	25000000
ROKU  		2023	02	10	57	000	C P 	951	1314	25000000
ROKU  		2023	02	10	58	000	C P 	1047	1145	25000000
ROKU  		2023	02	10	59	000	C P 	1159	1362	25000000
ROKU  		2023	02	10	60	000	C P 	1528	834	25000000
ROKU  		2023	02	10	61	000	C P 	1207	600	25000000
ROKU  		2023	02	10	62	000	C P 	1174	378	25000000
ROKU  		2023	02	10	63	000	C P 	1436	719	25000000
ROKU  		2023	02	10	64	000	C P 	835	377	25000000
ROKU  		2023	02	10	65	000	C P 	3429	192	25000000
ROKU  		2023	02	10	66	000	C P 	2265	624	25000000
ROKU  		2023	02	10	67	000	C P 	1029	77	25000000
ROKU  		2023	02	10	68	000	C P 	555	95	25000000
ROKU  		2023	02	10	69	000	C P 	764	2	25000000
ROKU  		2023	02	10	70	000	C P 	2455	26	25000000
ROKU  		2023	02	10	71	000	C P 	530	0	25000000
ROKU  		2023	02	10	72	000	C P 	3555	11	25000000
ROKU  		2023	02	10	73	000	C P 	295	0	25000000
ROKU  		2023	02	10	74	000	C P 	86	0	25000000
ROKU  		2023	02	10	75	000	C P 	1331	5	25000000
ROKU  		2023	02	10	76	000	C P 	134	5	25000000
ROKU  		2023	02	10	77	000	C P 	70	2	25000000
ROKU  		2023	02	10	78	000	C P 	201	0	25000000
ROKU  		2023	02	10	79	000	C P 	110	1	25000000
ROKU  		2023	02	10	80	000	C P 	647	0	25000000
ROKU  		2023	02	10	81	000	C P 	36	0	25000000
ROKU  		2023	02	10	82	000	C P 	42	0	25000000
ROKU  		2023	02	10	83	000	C P 	47	0	25000000
ROKU  		2023	02	10	84	000	C P 	174	0	25000000
ROKU  		2023	02	10	85	000	C P 	90	0	25000000
ROKU  		2023	02	10	86	000	C P 	242	0	25000000
ROKU  		2023	02	10	87	000	C P 	109	0	25000000
ROKU  		2023	02	10	90	000	C P 	20	0	25000000
ROKU  		2023	02	10	95	000	C P 	23	0	25000000
ROKU  		2023	02	10	100	000	C P 	0	0	25000000
ROKU  		2023	02	17	20	000	C P 	1	364	25000000
ROKU  		2023	02	17	22	500	C P 	20	428	25000000
ROKU  		2023	02	17	25	000	C P 	17	2715	25000000
ROKU  		2023	02	17	30	000	C P 	94	5211	25000000
ROKU  		2023	02	17	35	000	C P 	85	5777	25000000
ROKU  		2023	02	17	40	000	C P 	757	2759	25000000
ROKU  		2023	02	17	42	000	C P 	18	352	25000000
ROKU  		2023	02	17	43	000	C P 	5	745	25000000
ROKU  		2023	02	17	44	000	C P 	13	181	25000000
ROKU  		2023	02	17	45	000	C P 	1297	4216	25000000
ROKU  		2023	02	17	45	500	C P 	41	202	25000000
ROKU  		2023	02	17	46	000	C P 	60	338	25000000
ROKU  		2023	02	17	46	500	C P 	33	237	25000000
ROKU  		2023	02	17	47	000	C P 	71	705	25000000
ROKU  		2023	02	17	47	500	C P 	41	596	25000000
ROKU  		2023	02	17	48	000	C P 	32	1572	25000000
ROKU  		2023	02	17	48	500	C P 	17	282	25000000
ROKU  		2023	02	17	49	000	C P 	162	457	25000000
ROKU  		2023	02	17	49	500	C P 	149	458	25000000
ROKU  		2023	02	17	50	000	C P 	2154	3647	25000000
ROKU  		2023	02	17	51	000	C P 	262	1483	25000000
ROKU  		2023	02	17	52	000	C P 	97	964	25000000
ROKU  		2023	02	17	53	000	C P 	113	445	25000000
ROKU  		2023	02	17	54	000	C P 	301	817	25000000
ROKU  		2023	02	17	55	000	C P 	2493	1953	25000000
ROKU  		2023	02	17	56	000	C P 	368	441	25000000
ROKU  		2023	02	17	57	000	C P 	826	197	25000000
ROKU  		2023	02	17	58	000	C P 	408	391	25000000
ROKU  		2023	02	17	59	000	C P 	572	221	25000000
ROKU  		2023	02	17	60	000	C P 	2919	1136	25000000
ROKU  		2023	02	17	61	000	C P 	1663	218	25000000
ROKU  		2023	02	17	62	000	C P 	375	225	25000000
ROKU  		2023	02	17	63	000	C P 	587	151	25000000
ROKU  		2023	02	17	64	000	C P 	444	288	25000000
ROKU  		2023	02	17	65	000	C P 	5036	1108	25000000
ROKU  		2023	02	17	66	000	C P 	458	178	25000000
ROKU  		2023	02	17	67	000	C P 	876	532	25000000
ROKU  		2023	02	17	68	000	C P 	324	278	25000000
ROKU  		2023	02	17	69	000	C P 	298	248	25000000
ROKU  		2023	02	17	70	000	C P 	1820	300	25000000
ROKU  		2023	02	17	71	000	C P 	179	82	25000000
ROKU  		2023	02	17	72	000	C P 	716	98	25000000
ROKU  		2023	02	17	73	000	C P 	185	87	25000000
ROKU  		2023	02	17	74	000	C P 	521	147	25000000
ROKU  		2023	02	17	75	000	C P 	1636	163	25000000
ROKU  		2023	02	17	76	000	C P 	222	22	25000000
ROKU  		2023	02	17	77	000	C P 	165	46	25000000
ROKU  		2023	02	17	78	000	C P 	186	37	25000000
ROKU  		2023	02	17	79	000	C P 	88	27	25000000
ROKU  		2023	02	17	80	000	C P 	678	21	25000000
ROKU  		2023	02	17	81	000	C P 	153	37	25000000
ROKU  		2023	02	17	82	000	C P 	672	27	25000000
ROKU  		2023	02	17	83	000	C P 	100	20	25000000
ROKU  		2023	02	17	84	000	C P 	69	9	25000000
ROKU  		2023	02	17	85	000	C P 	3609	61	25000000
ROKU  		2023	02	17	86	000	C P 	23	21	25000000
ROKU  		2023	02	17	87	000	C P 	188	34	25000000
ROKU  		2023	02	17	90	000	C P 	3284	23	25000000
ROKU  		2023	02	17	95	000	C P 	107	4	25000000
ROKU  		2023	02	17	100	000	C P 	505	0	25000000
ROKU  		2023	02	24	25	000	C P 	4	2503	25000000
ROKU  		2023	02	24	30	000	C P 	1	178	25000000
ROKU  		2023	02	24	32	000	C P 	0	89	25000000
ROKU  		2023	02	24	33	000	C P 	0	32	25000000
ROKU  		2023	02	24	34	000	C P 	10	246	25000000
ROKU  		2023	02	24	35	000	C P 	5	486	25000000
