Series Search Results for ROKU

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
ROKU  		2023	02	24	25	000	C P 	4	2505	25000000
ROKU  		2023	02	24	30	000	C P 	30	205	25000000
ROKU  		2023	02	24	32	000	C P 	0	89	25000000
ROKU  		2023	02	24	33	000	C P 	0	133	25000000
ROKU  		2023	02	24	34	000	C P 	10	253	25000000
ROKU  		2023	02	24	35	000	C P 	5	620	25000000
ROKU  		2023	02	24	36	000	C P 	1	214	25000000
ROKU  		2023	02	24	36	500	C P 	1	71	25000000
ROKU  		2023	02	24	37	000	C P 	0	82	25000000
ROKU  		2023	02	24	37	500	C P 	0	53	25000000
ROKU  		2023	02	24	38	000	C P 	3	84	25000000
ROKU  		2023	02	24	38	500	C P 	0	12	25000000
ROKU  		2023	02	24	39	000	C P 	0	193	25000000
ROKU  		2023	02	24	39	500	C P 	2	11	25000000
ROKU  		2023	02	24	40	000	C P 	5	929	25000000
ROKU  		2023	02	24	40	500	C P 	1	8	25000000
ROKU  		2023	02	24	41	000	C P 	21	95	25000000
ROKU  		2023	02	24	41	500	C P 	4	116	25000000
ROKU  		2023	02	24	42	000	C P 	157	107	25000000
ROKU  		2023	02	24	42	500	C P 	1	13	25000000
ROKU  		2023	02	24	43	000	C P 	33	170	25000000
ROKU  		2023	02	24	43	500	C P 	3	19	25000000
ROKU  		2023	02	24	44	000	C P 	40	136	25000000
ROKU  		2023	02	24	44	500	C P 	4	23	25000000
ROKU  		2023	02	24	45	000	C P 	106	422	25000000
ROKU  		2023	02	24	45	500	C P 	5	25	25000000
ROKU  		2023	02	24	46	000	C P 	66	122	25000000
ROKU  		2023	02	24	46	500	C P 	16	293	25000000
ROKU  		2023	02	24	47	000	C P 	38	95	25000000
ROKU  		2023	02	24	47	500	C P 	13	32	25000000
ROKU  		2023	02	24	48	000	C P 	427	115	25000000
ROKU  		2023	02	24	48	500	C P 	13	41	25000000
ROKU  		2023	02	24	49	000	C P 	59	122	25000000
ROKU  		2023	02	24	49	500	C P 	10	160	25000000
ROKU  		2023	02	24	50	000	C P 	523	799	25000000
ROKU  		2023	02	24	51	000	C P 	196	407	25000000
ROKU  		2023	02	24	52	000	C P 	400	604	25000000
ROKU  		2023	02	24	53	000	C P 	121	345	25000000
ROKU  		2023	02	24	54	000	C P 	221	717	25000000
ROKU  		2023	02	24	55	000	C P 	183	935	25000000
ROKU  		2023	02	24	56	000	C P 	165	719	25000000
ROKU  		2023	02	24	57	000	C P 	537	1057	25000000
ROKU  		2023	02	24	58	000	C P 	375	769	25000000
ROKU  		2023	02	24	59	000	C P 	131	533	25000000
ROKU  		2023	02	24	60	000	C P 	684	1829	25000000
ROKU  		2023	02	24	61	000	C P 	206	323	25000000
ROKU  		2023	02	24	62	000	C P 	268	2655	25000000
ROKU  		2023	02	24	63	000	C P 	156	974	25000000
ROKU  		2023	02	24	64	000	C P 	658	787	25000000
ROKU  		2023	02	24	65	000	C P 	844	1436	25000000
ROKU  		2023	02	24	66	000	C P 	445	1007	25000000
ROKU  		2023	02	24	67	000	C P 	671	743	25000000
ROKU  		2023	02	24	68	000	C P 	892	903	25000000
ROKU  		2023	02	24	69	000	C P 	1737	654	25000000
ROKU  		2023	02	24	70	000	C P 	1753	829	25000000
ROKU  		2023	02	24	71	000	C P 	860	540	25000000
ROKU  		2023	02	24	72	000	C P 	1259	307	25000000
ROKU  		2023	02	24	73	000	C P 	968	676	25000000
ROKU  		2023	02	24	74	000	C P 	815	564	25000000
ROKU  		2023	02	24	75	000	C P 	2827	580	25000000
ROKU  		2023	02	24	76	000	C P 	628	205	25000000
ROKU  		2023	02	24	77	000	C P 	716	239	25000000
ROKU  		2023	02	24	78	000	C P 	452	76	25000000
ROKU  		2023	02	24	79	000	C P 	641	61	25000000
ROKU  		2023	02	24	80	000	C P 	1724	73	25000000
ROKU  		2023	02	24	81	000	C P 	457	18	25000000
ROKU  		2023	02	24	82	000	C P 	870	13	25000000
ROKU  		2023	02	24	83	000	C P 	254	18	25000000
ROKU  		2023	02	24	84	000	C P 	359	8	25000000
ROKU  		2023	02	24	85	000	C P 	732	3	25000000
ROKU  		2023	02	24	86	000	C P 	202	0	25000000
ROKU  		2023	02	24	87	000	C P 	1345	1	25000000
ROKU  		2023	02	24	90	000	C P 	1283	1	25000000
ROKU  		2023	02	24	95	000	C P 	449	0	25000000
ROKU  		2023	02	24	100	000	C P 	1796	1	25000000
ROKU  		2023	03	03	25	000	C P 	0	746	25000000
ROKU  		2023	03	03	30	000	C P 	0	115	25000000
ROKU  		2023	03	03	35	000	C P 	0	313	25000000
ROKU  		2023	03	03	38	000	C P 	1	229	25000000
ROKU  		2023	03	03	39	000	C P 	0	52	25000000
ROKU  		2023	03	03	40	000	C P 	3	968	25000000
ROKU  		2023	03	03	41	000	C P 	0	43	25000000
ROKU  		2023	03	03	42	000	C P 	9	220	25000000
ROKU  		2023	03	03	43	000	C P 	2	194	25000000
ROKU  		2023	03	03	44	000	C P 	2	816	25000000
ROKU  		2023	03	03	45	000	C P 	15	385	25000000
ROKU  		2023	03	03	46	000	C P 	6	117	25000000
ROKU  		2023	03	03	47	000	C P 	59	284	25000000
