Series Search Results for ROKU

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
ROKU  		2023	02	10	25	000	C P 	0	360	25000000
ROKU  		2023	02	10	29	000	C P 	1	28	25000000
ROKU  		2023	02	10	30	000	C P 	1	603	25000000
ROKU  		2023	02	10	31	000	C P 	1	79	25000000
ROKU  		2023	02	10	32	000	C P 	0	1219	25000000
ROKU  		2023	02	10	33	000	C P 	1	762	25000000
ROKU  		2023	02	10	34	000	C P 	7	54	25000000
ROKU  		2023	02	10	35	000	C P 	4	118	25000000
ROKU  		2023	02	10	36	000	C P 	0	56	25000000
ROKU  		2023	02	10	37	000	C P 	1	176	25000000
ROKU  		2023	02	10	38	000	C P 	1	554	25000000
ROKU  		2023	02	10	38	500	C P 	2	240	25000000
ROKU  		2023	02	10	39	000	C P 	0	284	25000000
ROKU  		2023	02	10	39	500	C P 	12	0	25000000
ROKU  		2023	02	10	40	000	C P 	2018	2189	25000000
ROKU  		2023	02	10	40	500	C P 	6	3	25000000
ROKU  		2023	02	10	41	000	C P 	19	145	25000000
ROKU  		2023	02	10	41	500	C P 	0	8	25000000
ROKU  		2023	02	10	42	000	C P 	15	309	25000000
ROKU  		2023	02	10	42	500	C P 	1	9	25000000
ROKU  		2023	02	10	43	000	C P 	44	156	25000000
ROKU  		2023	02	10	43	500	C P 	4	12	25000000
ROKU  		2023	02	10	44	000	C P 	106	917	25000000
ROKU  		2023	02	10	44	500	C P 	24	1	25000000
ROKU  		2023	02	10	45	000	C P 	104	216	25000000
ROKU  		2023	02	10	45	500	C P 	18	45	25000000
ROKU  		2023	02	10	46	000	C P 	497	197	25000000
ROKU  		2023	02	10	46	500	C P 	16	547	25000000
ROKU  		2023	02	10	47	000	C P 	83	1040	25000000
ROKU  		2023	02	10	47	500	C P 	18	578	25000000
ROKU  		2023	02	10	48	000	C P 	105	211	25000000
ROKU  		2023	02	10	48	500	C P 	19	231	25000000
ROKU  		2023	02	10	49	000	C P 	108	210	25000000
ROKU  		2023	02	10	49	500	C P 	57	94	25000000
ROKU  		2023	02	10	50	000	C P 	209	665	25000000
ROKU  		2023	02	10	51	000	C P 	169	257	25000000
ROKU  		2023	02	10	52	000	C P 	435	448	25000000
ROKU  		2023	02	10	53	000	C P 	390	581	25000000
ROKU  		2023	02	10	54	000	C P 	475	848	25000000
ROKU  		2023	02	10	55	000	C P 	467	632	25000000
ROKU  		2023	02	10	56	000	C P 	302	1431	25000000
ROKU  		2023	02	10	57	000	C P 	843	928	25000000
ROKU  		2023	02	10	58	000	C P 	643	955	25000000
ROKU  		2023	02	10	59	000	C P 	510	1002	25000000
ROKU  		2023	02	10	60	000	C P 	942	1031	25000000
ROKU  		2023	02	10	61	000	C P 	510	719	25000000
ROKU  		2023	02	10	62	000	C P 	813	389	25000000
ROKU  		2023	02	10	63	000	C P 	1428	742	25000000
ROKU  		2023	02	10	64	000	C P 	752	491	25000000
ROKU  		2023	02	10	65	000	C P 	3518	315	25000000
ROKU  		2023	02	10	66	000	C P 	2334	813	25000000
ROKU  		2023	02	10	67	000	C P 	1039	141	25000000
ROKU  		2023	02	10	68	000	C P 	598	164	25000000
ROKU  		2023	02	10	69	000	C P 	1030	37	25000000
ROKU  		2023	02	10	70	000	C P 	2326	94	25000000
ROKU  		2023	02	10	71	000	C P 	551	42	25000000
ROKU  		2023	02	10	72	000	C P 	3516	13	25000000
ROKU  		2023	02	10	73	000	C P 	282	13	25000000
ROKU  		2023	02	10	74	000	C P 	87	0	25000000
ROKU  		2023	02	10	75	000	C P 	1337	13	25000000
ROKU  		2023	02	10	76	000	C P 	137	3	25000000
ROKU  		2023	02	10	77	000	C P 	70	0	25000000
ROKU  		2023	02	10	78	000	C P 	225	5	25000000
ROKU  		2023	02	10	79	000	C P 	110	1	25000000
ROKU  		2023	02	10	80	000	C P 	647	0	25000000
ROKU  		2023	02	10	81	000	C P 	36	0	25000000
ROKU  		2023	02	10	82	000	C P 	42	0	25000000
ROKU  		2023	02	10	83	000	C P 	47	0	25000000
ROKU  		2023	02	10	84	000	C P 	174	0	25000000
ROKU  		2023	02	10	85	000	C P 	90	0	25000000
ROKU  		2023	02	10	86	000	C P 	242	0	25000000
ROKU  		2023	02	10	87	000	C P 	109	0	25000000
ROKU  		2023	02	10	90	000	C P 	22	0	25000000
ROKU  		2023	02	10	95	000	C P 	23	0	25000000
ROKU  		2023	02	10	100	000	C P 	0	0	25000000
ROKU  		2023	02	17	20	000	C P 	1	365	25000000
ROKU  		2023	02	17	22	500	C P 	20	428	25000000
ROKU  		2023	02	17	25	000	C P 	17	2715	25000000
ROKU  		2023	02	17	30	000	C P 	94	5229	25000000
ROKU  		2023	02	17	35	000	C P 	75	5134	25000000
ROKU  		2023	02	17	40	000	C P 	768	3041	25000000
ROKU  		2023	02	17	42	000	C P 	17	119	25000000
ROKU  		2023	02	17	43	000	C P 	6	161	25000000
ROKU  		2023	02	17	44	000	C P 	12	103	25000000
ROKU  		2023	02	17	45	000	C P 	1295	4325	25000000
ROKU  		2023	02	17	45	500	C P 	41	178	25000000
ROKU  		2023	02	17	46	000	C P 	58	87	25000000
ROKU  		2023	02	17	46	500	C P 	32	120	25000000
ROKU  		2023	02	17	47	000	C P 	72	669	25000000
ROKU  		2023	02	17	47	500	C P 	41	280	25000000
ROKU  		2023	02	17	48	000	C P 	28	962	25000000
ROKU  		2023	02	17	48	500	C P 	16	137	25000000
ROKU  		2023	02	17	49	000	C P 	162	91	25000000
ROKU  		2023	02	17	49	500	C P 	144	81	25000000
ROKU  		2023	02	17	50	000	C P 	2170	3472	25000000
ROKU  		2023	02	17	51	000	C P 	258	108	25000000
ROKU  		2023	02	17	52	000	C P 	100	911	25000000
ROKU  		2023	02	17	53	000	C P 	137	344	25000000
ROKU  		2023	02	17	54	000	C P 	300	736	25000000
ROKU  		2023	02	17	55	000	C P 	2499	1954	25000000
ROKU  		2023	02	17	56	000	C P 	351	394	25000000
ROKU  		2023	02	17	57	000	C P 	755	234	25000000
ROKU  		2023	02	17	58	000	C P 	363	441	25000000
ROKU  		2023	02	17	59	000	C P 	510	224	25000000
ROKU  		2023	02	17	60	000	C P 	2447	1081	25000000
ROKU  		2023	02	17	61	000	C P 	378	188	25000000
ROKU  		2023	02	17	62	000	C P 	295	197	25000000
ROKU  		2023	02	17	63	000	C P 	464	146	25000000
ROKU  		2023	02	17	64	000	C P 	152	224	25000000
ROKU  		2023	02	17	65	000	C P 	4964	1112	25000000
ROKU  		2023	02	17	66	000	C P 	443	173	25000000
ROKU  		2023	02	17	67	000	C P 	813	522	25000000
ROKU  		2023	02	17	68	000	C P 	136	262	25000000
ROKU  		2023	02	17	69	000	C P 	279	227	25000000
ROKU  		2023	02	17	70	000	C P 	1671	263	25000000
ROKU  		2023	02	17	71	000	C P 	151	66	25000000
ROKU  		2023	02	17	72	000	C P 	138	50	25000000
ROKU  		2023	02	17	73	000	C P 	127	52	25000000
ROKU  		2023	02	17	74	000	C P 	322	77	25000000
ROKU  		2023	02	17	75	000	C P 	1586	78	25000000
ROKU  		2023	02	17	76	000	C P 	175	17	25000000
ROKU  		2023	02	17	77	000	C P 	145	46	25000000
ROKU  		2023	02	17	78	000	C P 	166	37	25000000
ROKU  		2023	02	17	79	000	C P 	65	26	25000000
ROKU  		2023	02	17	80	000	C P 	795	19	25000000
ROKU  		2023	02	17	81	000	C P 	88	36	25000000
ROKU  		2023	02	17	82	000	C P 	65	25	25000000
ROKU  		2023	02	17	83	000	C P 	101	18	25000000
ROKU  		2023	02	17	84	000	C P 	64	7	25000000
ROKU  		2023	02	17	85	000	C P 	3514	61	25000000
ROKU  		2023	02	17	86	000	C P 	19	21	25000000
ROKU  		2023	02	17	87	000	C P 	183	34	25000000
ROKU  		2023	02	17	90	000	C P 	3274	23	25000000
ROKU  		2023	02	17	95	000	C P 	35	4	25000000
ROKU  		2023	02	17	100	000	C P 	337	0	25000000
ROKU  		2023	02	24	25	000	C P 	4	2503	25000000
ROKU  		2023	02	24	30	000	C P 	1	177	25000000
ROKU  		2023	02	24	32	000	C P 	0	79	25000000
ROKU  		2023	02	24	33	000	C P 	0	32	25000000
ROKU  		2023	02	24	34	000	C P 	10	246	25000000
ROKU  		2023	02	24	35	000	C P 	5	480	25000000
