ProductSymbol	Year	Month	Day	Integer	Dec	C/P	Call	Put	PositionLimit	
ROKU  	2023	02	17	20	000	C P 	1	361	25000000
ROKU  	2023	02	17	22	500	C P 	20	426	25000000
ROKU  	2023	02	17	25	000	C P 	17	2721	25000000
ROKU  	2023	02	17	30	000	C P 	86	5296	25000000
ROKU  	2023	02	17	35	000	C P 	93	6664	25000000
ROKU  	2023	02	17	36	000	C P 	2	1679	25000000
ROKU  	2023	02	17	36	500	C P 	0	736	25000000
ROKU  	2023	02	17	37	000	C P 	0	498	25000000
ROKU  	2023	02	17	37	500	C P 	1	893	25000000
ROKU  	2023	02	17	38	000	C P 	0	320	25000000
ROKU  	2023	02	17	38	500	C P 	1	81	25000000
ROKU  	2023	02	17	39	000	C P 	0	251	25000000
ROKU  	2023	02	17	40	000	C P 	702	3641	25000000
ROKU  	2023	02	17	41	000	C P 	3	1001	25000000
ROKU  	2023	02	17	42	000	C P 	11	1511	25000000
ROKU  	2023	02	17	43	000	C P 	8	792	25000000
ROKU  	2023	02	17	44	000	C P 	15	756	25000000
ROKU  	2023	02	17	45	000	C P 	1234	4995	25000000
ROKU  	2023	02	17	45	500	C P 	41	375	25000000
ROKU  	2023	02	17	46	000	C P 	54	986	25000000
ROKU  	2023	02	17	46	500	C P 	40	311	25000000
ROKU  	2023	02	17	47	000	C P 	77	1121	25000000
ROKU  	2023	02	17	47	500	C P 	60	859	25000000
ROKU  	2023	02	17	48	000	C P 	46	1729	25000000
ROKU  	2023	02	17	48	500	C P 	36	387	25000000
ROKU  	2023	02	17	49	000	C P 	133	1190	25000000
ROKU  	2023	02	17	49	500	C P 	158	691	25000000
ROKU  	2023	02	17	50	000	C P 	1663	4686	25000000
ROKU  	2023	02	17	51	000	C P 	265	2452	25000000
ROKU  	2023	02	17	52	000	C P 	103	1884	25000000
ROKU  	2023	02	17	53	000	C P 	103	1593	25000000
ROKU  	2023	02	17	54	000	C P 	369	1383	25000000
ROKU  	2023	02	17	55	000	C P 	2306	2339	25000000
ROKU  	2023	02	17	56	000	C P 	753	1418	25000000
ROKU  	2023	02	17	57	000	C P 	998	1000	25000000
ROKU  	2023	02	17	58	000	C P 	602	2871	25000000
ROKU  	2023	02	17	59	000	C P 	687	816	25000000
ROKU  	2023	02	17	60	000	C P 	3048	2104	25000000
ROKU  	2023	02	17	61	000	C P 	1278	521	25000000
ROKU  	2023	02	17	62	000	C P 	967	756	25000000
ROKU  	2023	02	17	63	000	C P 	844	917	25000000
ROKU  	2023	02	17	64	000	C P 	831	878	25000000
ROKU  	2023	02	17	65	000	C P 	4233	2056	25000000
ROKU  	2023	02	17	66	000	C P 	972	711	25000000
ROKU  	2023	02	17	67	000	C P 	999	1127	25000000
ROKU  	2023	02	17	68	000	C P 	1342	730	25000000
ROKU  	2023	02	17	69	000	C P 	855	1471	25000000
ROKU  	2023	02	17	70	000	C P 	4059	2102	25000000
ROKU  	2023	02	17	71	000	C P 	1242	795	25000000
ROKU  	2023	02	17	72	000	C P 	1453	735	25000000
ROKU  	2023	02	17	73	000	C P 	827	994	25000000
ROKU  	2023	02	17	74	000	C P 	1568	984	25000000
ROKU  	2023	02	17	75	000	C P 	4205	836	25000000
ROKU  	2023	02	17	76	000	C P 	1864	394	25000000
ROKU  	2023	02	17	77	000	C P 	597	233	25000000
