Series Search Results for TSLA

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
TSLA  		2023	02	10	15	000	C P 	0	187	75000000
TSLA  		2023	02	10	20	000	C P 	0	1	75000000
TSLA  		2023	02	10	25	000	C P 	0	250	75000000
TSLA  		2023	02	10	30	000	C P 	0	1498	75000000
TSLA  		2023	02	10	35	000	C P 	0	1462	75000000
TSLA  		2023	02	10	40	000	C P 	0	934	75000000
TSLA  		2023	02	10	45	000	C P 	0	1869	75000000
TSLA  		2023	02	10	50	000	C P 	0	2205	75000000
TSLA  		2023	02	10	55	000	C P 	0	1158	75000000
TSLA  		2023	02	10	60	000	C P 	0	2416	75000000
TSLA  		2023	02	10	65	000	C P 	0	1705	75000000
TSLA  		2023	02	10	70	000	C P 	0	1611	75000000
TSLA  		2023	02	10	75	000	C P 	0	647	75000000
TSLA  		2023	02	10	80	000	C P 	0	1921	75000000
TSLA  		2023	02	10	85	000	C P 	0	1021	75000000
TSLA  		2023	02	10	90	000	C P 	0	1792	75000000
TSLA  		2023	02	10	95	000	C P 	0	1363	75000000
TSLA  		2023	02	10	98	000	C P 	0	694	75000000
TSLA  		2023	02	10	99	000	C P 	0	1226	75000000
TSLA  		2023	02	10	100	000	C P 	0	3112	75000000
TSLA  		2023	02	10	101	000	C P 	0	1892	75000000
TSLA  		2023	02	10	102	000	C P 	0	513	75000000
TSLA  		2023	02	10	103	000	C P 	0	997	75000000
TSLA  		2023	02	10	104	000	C P 	0	864	75000000
TSLA  		2023	02	10	105	000	C P 	0	3320	75000000
TSLA  		2023	02	10	106	000	C P 	0	1778	75000000
TSLA  		2023	02	10	107	000	C P 	0	1827	75000000
TSLA  		2023	02	10	108	000	C P 	0	1528	75000000
TSLA  		2023	02	10	109	000	C P 	0	1117	75000000
TSLA  		2023	02	10	110	000	C P 	0	2333	75000000
TSLA  		2023	02	10	111	000	C P 	0	383	75000000
TSLA  		2023	02	10	112	000	C P 	0	2474	75000000
TSLA  		2023	02	10	113	000	C P 	0	1096	75000000
TSLA  		2023	02	10	114	000	C P 	0	6026	75000000
TSLA  		2023	02	10	115	000	C P 	0	2417	75000000
TSLA  		2023	02	10	116	000	C P 	0	1084	75000000
TSLA  		2023	02	10	117	000	C P 	0	1608	75000000
TSLA  		2023	02	10	118	000	C P 	0	2835	75000000
TSLA  		2023	02	10	119	000	C P 	0	814	75000000
TSLA  		2023	02	10	120	000	C P 	0	4166	75000000
TSLA  		2023	02	10	121	000	C P 	0	1777	75000000
TSLA  		2023	02	10	122	000	C P 	0	1208	75000000
TSLA  		2023	02	10	123	000	C P 	0	1629	75000000
TSLA  		2023	02	10	124	000	C P 	0	1551	75000000
TSLA  		2023	02	10	125	000	C P 	0	4559	75000000
TSLA  		2023	02	10	126	000	C P 	0	1102	75000000
TSLA  		2023	02	10	127	000	C P 	0	1856	75000000
TSLA  		2023	02	10	128	000	C P 	0	1345	75000000
TSLA  		2023	02	10	129	000	C P 	0	3327	75000000
TSLA  		2023	02	10	130	000	C P 	0	6568	75000000
TSLA  		2023	02	10	131	000	C P 	0	2336	75000000
TSLA  		2023	02	10	132	000	C P 	0	1792	75000000
TSLA  		2023	02	10	133	000	C P 	0	2160	75000000
TSLA  		2023	02	10	134	000	C P 	0	4822	75000000
TSLA  		2023	02	10	135	000	C P 	0	6482	75000000
TSLA  		2023	02	10	136	000	C P 	0	3035	75000000
TSLA  		2023	02	10	137	000	C P 	0	2778	75000000
TSLA  		2023	02	10	138	000	C P 	0	5627	75000000
TSLA  		2023	02	10	139	000	C P 	0	6544	75000000
TSLA  		2023	02	10	140	000	C P 	0	17416	75000000
TSLA  		2023	02	10	141	000	C P 	0	1672	75000000
TSLA  		2023	02	10	142	000	C P 	0	3916	75000000
TSLA  		2023	02	10	143	000	C P 	0	526	75000000
TSLA  		2023	02	10	144	000	C P 	0	1382	75000000
TSLA  		2023	02	10	145	000	C P 	0	12392	75000000
TSLA  		2023	02	10	146	000	C P 	0	1928	75000000
TSLA  		2023	02	10	147	000	C P 	0	2018	75000000
TSLA  		2023	02	10	148	000	C P 	0	2609	75000000
TSLA  		2023	02	10	149	000	C P 	0	1908	75000000
TSLA  		2023	02	10	150	000	C P 	0	11538	75000000
TSLA  		2023	02	10	152	500	C P 	0	3539	75000000
TSLA  		2023	02	10	155	000	C P 	0	7258	75000000
TSLA  		2023	02	10	157	500	C P 	0	4271	75000000
TSLA  		2023	02	10	160	000	C P 	0	12974	75000000
TSLA  		2023	02	10	162	500	C P 	0	4684	75000000
TSLA  		2023	02	10	165	000	C P 	0	12829	75000000
TSLA  		2023	02	10	167	500	C P 	0	4672	75000000
TSLA  		2023	02	10	170	000	C P 	0	12604	75000000
TSLA  		2023	02	10	172	500	C P 	0	5523	75000000
TSLA  		2023	02	10	175	000	C P 	0	11642	75000000
TSLA  		2023	02	10	177	500	C P 	0	5149	75000000
TSLA  		2023	02	10	180	000	C P 	0	15327	75000000
TSLA  		2023	02	10	182	500	C P 	0	12763	75000000
TSLA  		2023	02	10	185	000	C P 	0	18282	75000000
TSLA  		2023	02	10	187	500	C P 	0	11044	75000000
TSLA  		2023	02	10	190	000	C P 	0	34470	75000000
TSLA  		2023	02	10	192	500	C P 	0	16032	75000000
TSLA  		2023	02	10	195	000	C P 	236	11134	75000000
TSLA  		2023	02	10	197	500	C P 	11569	0	75000000
TSLA  		2023	02	10	200	000	C P 	31211	0	75000000
TSLA  		2023	02	10	202	500	C P 	11897	0	75000000
TSLA  		2023	02	10	205	000	C P 	20550	0	75000000
TSLA  		2023	02	10	207	500	C P 	11583	0	75000000
TSLA  		2023	02	10	210	000	C P 	20801	0	75000000
TSLA  		2023	02	10	212	500	C P 	12500	0	75000000
TSLA  		2023	02	10	215	000	C P 	22400	0	75000000
TSLA  		2023	02	10	217	500	C P 	10733	0	75000000
TSLA  		2023	02	10	220	000	C P 	22580	0	75000000
TSLA  		2023	02	10	222	500	C P 	9436	0	75000000
TSLA  		2023	02	10	225	000	C P 	11482	0	75000000
TSLA  		2023	02	10	227	500	C P 	7205	0	75000000
